1,¹èÃßÈò³ªºñ,common butterfly,160,°øÁß,Any except rain,4#5#6#7#8#9#10#11#12#13#14#15#16#17#18#19,4#5#6#7#8#9#10#11#12#13#14#15#16#17#18#19,4#5#6#7#8#9#10#11#12#13#14#15#16#17#18#19,4#5#6#7#8#9#10#11#12#13#14#15#16#17#18#19,4#5#6#7#8#9#10#11#12#13#14#15#16#17#18#19,4#5#6#7#8#9#10#11#12#13#14#15#16#17#18#19,null,null,4#5#6#7#8#9#10#11#12#13#14#15#16#17#18#19,4#5#6#7#8#9#10#11#12#13#14#15#16#17#18#19,4#5#6#7#8#9#10#11#12#13#14#15#16#17#18#19,4#5#6#7#8#9#10#11#12#13#14#15#16#17#18#19,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/bug%2Ficon%2Fic_bug_001_commonbutterfly.png?alt=media&token=dcb2480c-c8f9-4fca-b388-b6fab912fba6,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/bug%2Fdetail%2Fbug_detail_001_commonbutterfly.png?alt=media&token=ce1aa91c-edec-4c22-9a94-0aacfb66297d
2,³ë¶û³ªºñ,yellow butterfly,160,°øÁß,Any except rain,null,null,4#5#6#7#8#9#10#11#12#13#14#15#16#17#18#19,4#5#6#7#8#9#10#11#12#13#14#15#16#17#18#19,4#5#6#7#8#9#10#11#12#13#14#15#16#17#18#19,4#5#6#7#8#9#10#11#12#13#14#15#16#17#18#19,null,null,4#5#6#7#8#9#10#11#12#13#14#15#16#17#18#19,4#5#6#7#8#9#10#11#12#13#14#15#16#17#18#19,null,null,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/bug%2Ficon%2Fic_bug_002_yellowbutterfly.png?alt=media&token=47fd89af-f85e-4c62-bfd7-240d33e6f9d1,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/bug%2Fdetail%2Fbug_detail_002_yellowbutterfly.png?alt=media&token=966febe3-f7af-4101-92f1-94b76e99f20e
3,È£¶û³ªºñ,tiger butterfly,240,°øÁß,Any except rain,null,null,4#5#6#7#8#9#10#11#12#13#14#15#16#17#18#19,4#5#6#7#8#9#10#11#12#13#14#15#16#17#18#19,4#5#6#7#8#9#10#11#12#13#14#15#16#17#18#19,4#5#6#7#8#9#10#11#12#13#14#15#16#17#18#19,4#5#6#7#8#9#10#11#12#13#14#15#16#17#18#19,4#5#6#7#8#9#10#11#12#13#14#15#16#17#18#19,4#5#6#7#8#9#10#11#12#13#14#15#16#17#18#19,null,null,null,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/bug%2Ficon%2Fic_bug_003_tigerbutterfly.png?alt=media&token=f6485f13-2891-4688-aadc-fd5f932490ee,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/bug%2Fdetail%2Fbug_detail_003_tigerbutterfly.png?alt=media&token=50c7ec6e-3dc4-4c2b-9a79-5357243791e3
4,Á¦ºñ³ªºñ,peacock butterfly,2500,ÆÄ¶û# º¸¶ó# °ËÁ¤»ö ²É ÁÖº¯,Any except rain,null,null,4#5#6#7#8#9#10#11#12#13#14#15#16#17#18#19,4#5#6#7#8#9#10#11#12#13#14#15#16#17#18#19,4#5#6#7#8#9#10#11#12#13#14#15#16#17#18#19,4#5#6#7#8#9#10#11#12#13#14#15#16#17#18#19,null,null,null,null,null,null,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/bug%2Ficon%2Fic_bug_004_peacockbutterfly.png?alt=media&token=54de88f7-6cce-4602-be28-25d6dce7ac31,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/bug%2Fdetail%2Fbug_detail_004_peacockbutterfly.png?alt=media&token=74b4862e-5971-4261-84e3-22a7e1401026
5,Ã»¶ìÁ¦ºñ³ªºñ,common bluebottle,300,°øÁß,Any except rain,null,null,null,4#5#6#7#8#9#10#11#12#13#14#15#16#17#18#19,4#5#6#7#8#9#10#11#12#13#14#15#16#17#18#19,4#5#6#7#8#9#10#11#12#13#14#15#16#17#18#19,4#5#6#7#8#9#10#11#12#13#14#15#16#17#18#19,4#5#6#7#8#9#10#11#12#13#14#15#16#17#18#19,null,null,null,null,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/bug%2Ficon%2Fic_bug_005_commonbluebottle.png?alt=media&token=0bada86d-cd38-4d3e-a7c8-e7b4f60d22cd,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/bug%2Fdetail%2Fbug_detail_005_commonbluebottle.png?alt=media&token=48986eb6-5c48-43ec-821b-9e16f0f9d54c
6,¿Õ¾ó·è³ªºñ,paper kite butterfly,1000,²É ÁÖº¯,Any except rain,8#9#10#11#12#13#14#15#16#17#18#19,8#9#10#11#12#13#14#15#16#17#18#19,8#9#10#11#12#13#14#15#16#17#18#19,8#9#10#11#12#13#14#15#16#17#18#19,8#9#10#11#12#13#14#15#16#17#18#19,8#9#10#11#12#13#14#15#16#17#18#19,8#9#10#11#12#13#14#15#16#17#18#19,8#9#10#11#12#13#14#15#16#17#18#19,8#9#10#11#12#13#14#15#16#17#18#19,8#9#10#11#12#13#14#15#16#17#18#19,8#9#10#11#12#13#14#15#16#17#18#19,8#9#10#11#12#13#14#15#16#17#18#19,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/bug%2Ficon%2Fic_bug_006_paperkitebutterfly.png?alt=media&token=91641dc5-ba17-4f39-a449-cd45ece92f75,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/bug%2Fdetail%2Fbug_detail_006_paperkitebutterfly.png?alt=media&token=0606a059-af33-429c-b73c-b037b6073e32
7,¿Õ¿À»ö³ªºñ,great purple emperor,3000,²É ÁÖº¯,Any except rain,null,null,null,null,4#5#6#7#8#9#10#11#12#13#14#15#16#17#18#19,4#5#6#7#8#9#10#11#12#13#14#15#16#17#18#19,4#5#6#7#8#9#10#11#12#13#14#15#16#17#18#19,4#5#6#7#8#9#10#11#12#13#14#15#16#17#18#19,null,null,null,null,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/bug%2Ficon%2Fic_bug_007_greatpurpleemperor.png?alt=media&token=918a637f-b3a1-4d31-ab46-6e14d26a676f,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/bug%2Fdetail%2Fbug_detail_007_greatpurpleemperor.png?alt=media&token=4b546966-9dcf-4976-a8a3-1934fbfd17e0
8,¿Õ³ªºñ,monarch butterfly,140,²É ÁÖº¯,Any except rain,null,null,null,null,null,null,null,null,4#5#6#7#8#9#10#11#12#13#14#15#16#17,4#5#6#7#8#9#10#11#12#13#14#15#16#17,4#5#6#7#8#9#10#11#12#13#14#15#16#17,null,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/bug%2Ficon%2Fic_bug_008_monarchbutterfly.png?alt=media&token=2204e9be-aeda-482a-a068-66e69c9c154a,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/bug%2Fdetail%2Fbug_detail_008_monarchbutterfly.png?alt=media&token=0cd635af-0a4a-4641-b982-6515d3b0cf44
9,¸ôÆ÷³ªºñ,emperor butterfly,4000,²É ÁÖº¯,Any except rain,17#18#19#20#21#22#23#0#1#2#3#4#5#6#7#8,17#18#19#20#21#22#23#0#1#2#3#4#5#6#7#8,17#18#19#20#21#22#23#0#1#2#3#4#5#6#7#8,null,null,17#18#19#20#21#22#23#0#1#2#3#4#5#6#7#8,17#18#19#20#21#22#23#0#1#2#3#4#5#6#7#8,17#18#19#20#21#22#23#0#1#2#3#4#5#6#7#8,17#18#19#20#21#22#23#0#1#2#3#4#5#6#7#8,null,null,17#18#19#20#21#22#23#0#1#2#3#4#5#6#7#8,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/bug%2Ficon%2Fic_bug_009_emperorbutterfly.png?alt=media&token=47f40785-aee2-405f-93d8-5a529c35ee7a,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/bug%2Fdetail%2Fbug_detail_009_emperorbutterfly.png?alt=media&token=5c99b26d-7680-427a-8fad-9a4bfa2c271b
10,¾Æ±×¸®¾Æ½º³ªºñ,agrias butterfly,3000,²É ÁÖº¯,Any except rain,null,null,null,8#9#10#11#12#13#14#15#16#17,8#9#10#11#12#13#14#15#16#17,8#9#10#11#12#13#14#15#16#17,8#9#10#11#12#13#14#15#16#17,8#9#10#11#12#13#14#15#16#17,8#9#10#11#12#13#14#15#16#17,null,null,null,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/bug%2Ficon%2Fic_bug_010_agriasbutterfly.png?alt=media&token=3eec6c9c-7aa8-4c1d-8bb3-d4c99479eea3,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/bug%2Fdetail%2Fbug_detail_010_agriasbutterfly.png?alt=media&token=a04dd508-6acb-45ea-a850-50fedf9e9d9d
